gen WORST
0 24.0 
1 34.0 
2 57.0 
3 13.0 
4 7.0 
5 54.0 
6 36.0 
7 16.0 
8 31.0 
9 40.0 
10 11.0 
11 40.0 
12 40.0 
13 42.0 
14 80.0 
15 17.0 
16 79.0 
17 79.0 
18 95.0 
19 90.0 
20 7.0 
21 32.0 
22 32.0 
23 38.0 
24 16.0 
25 30.0 
26 30.0 
27 31.0 
28 55.0 
29 14.0 
30 55.0 
31 26.0 
32 95.0 
33 36.0 
34 16.0 
35 15.0 
36 71.0 
37 12.0 
38 70.0 
39 31.0 
40 44.0 
41 59.0 
42 29.0 
43 14.0 
44 23.0 
45 45.0 
46 45.0 
47 50.0 
48 19.0 
49 22.0 
