gen AVG
0 65.0 
1 66.7 
2 69.6 
3 70.1 
4 70.6 
5 68.9 
6 70.0 
7 79.9 
8 61.7 
9 79.0 
10 65.9 
11 84.9 
12 87.1 
13 73.9 
14 80.9 
15 79.9 
16 89.0 
17 76.4 
18 75.3 
19 69.1 
20 88.6 
21 76.0 
22 72.6 
23 83.0 
24 89.0 
25 89.0 
26 72.7 
27 77.2 
28 87.5 
29 75.6 
30 71.7 
31 82.2 
32 64.5 
33 67.8 
34 78.3 
35 81.2 
36 76.3 
37 66.7 
38 82.7 
39 86.4 
40 67.9 
41 84.4 
42 78.5 
43 79.6 
44 61.3 
45 79.6 
46 80.2 
47 82.0 
48 71.2 
49 79.7 
