gen AVG
0 56.55 
1 68.15 
2 67.35 
3 77.1 
4 82.0 
5 79.0 
6 82.45 
7 85.95 
8 95.05 
9 75.85 
10 82.4 
11 87.3 
12 84.65 
13 88.2 
14 84.9 
15 88.7 
16 90.55 
17 88.7 
18 87.7 
19 92.25 
20 90.45 
21 82.6 
22 93.55 
23 73.05 
24 80.2 
25 91.2 
26 79.5 
27 86.4 
28 84.5 
29 80.8 
30 78.15 
31 87.7 
32 84.15 
33 74.5 
34 95.4 
35 85.65 
36 61.3 
37 73.35 
38 99.0 
39 68.15 
40 77.9 
41 74.7 
42 87.85 
43 80.0 
44 76.1 
45 76.0 
46 93.75 
47 87.35 
48 83.15 
49 67.1 
