gen AVG
0 71.1 
1 93.05 
2 100.5 
3 99.9 
4 107.95 
5 97.35 
6 93.05 
7 106.0 
8 108.05 
9 103.1 
10 110.35 
11 102.2 
12 99.9 
13 105.2 
14 99.35 
15 110.35 
16 108.6 
17 103.4 
18 110.5 
19 105.75 
20 114.2 
21 120.0 
22 104.1 
23 108.1 
24 110.7 
25 106.35 
26 108.35 
27 112.0 
28 116.35 
29 118.6 
30 102.6 
31 113.05 
32 106.25 
33 109.5 
34 104.8 
35 106.45 
36 114.1 
37 104.7 
38 109.6 
39 118.6 
40 114.6 
41 107.0 
42 106.0 
43 105.85 
44 109.0 
45 116.55 
46 110.05 
47 113.5 
48 123.05 
49 109.85 
