gen WORST
0 31.0 
1 26.0 
2 17.0 
3 43.0 
4 46.0 
5 46.0 
6 46.0 
7 44.0 
8 44.0 
9 38.0 
10 34.0 
11 28.0 
12 32.0 
13 32.0 
14 58.0 
15 30.0 
16 32.0 
17 81.0 
18 47.0 
19 48.0 
20 78.0 
21 62.0 
22 23.0 
23 115.0 
24 37.0 
25 76.0 
26 35.0 
27 35.0 
28 47.0 
29 28.0 
30 65.0 
31 30.0 
32 54.0 
33 37.0 
34 44.0 
35 18.0 
36 18.0 
37 32.0 
38 64.0 
39 42.0 
40 27.0 
41 45.0 
42 24.0 
43 45.0 
44 34.0 
45 30.0 
46 44.0 
47 24.0 
48 42.0 
49 43.0 
