gen WORST
0 12.0 
1 19.0 
2 42.0 
3 20.0 
4 16.0 
5 21.0 
6 16.0 
7 18.0 
8 27.0 
9 12.0 
10 4.0 
11 11.0 
12 23.0 
13 21.0 
14 104.0 
15 18.0 
16 17.0 
17 16.0 
18 15.0 
19 7.0 
20 23.0 
21 10.0 
22 6.0 
23 31.0 
24 40.0 
25 5.0 
26 6.0 
27 21.0 
28 20.0 
29 30.0 
30 13.0 
31 16.0 
32 16.0 
33 19.0 
34 11.0 
35 14.0 
36 23.0 
37 9.0 
38 27.0 
39 8.0 
40 8.0 
41 16.0 
42 16.0 
43 18.0 
44 10.0 
45 17.0 
46 11.0 
47 19.0 
48 18.0 
49 26.0 
