gen WORST
0 39.0 
1 19.0 
2 39.0 
3 20.0 
4 38.0 
5 38.0 
6 25.0 
7 25.0 
8 23.0 
9 38.0 
10 40.0 
11 53.0 
12 24.0 
13 25.0 
14 57.0 
15 62.0 
16 70.0 
17 34.0 
18 30.0 
19 27.0 
20 29.0 
21 57.0 
22 66.0 
23 41.0 
24 41.0 
25 28.0 
26 28.0 
27 57.0 
28 53.0 
29 100.0 
30 45.0 
31 39.0 
32 41.0 
33 37.0 
34 62.0 
35 28.0 
36 44.0 
37 69.0 
38 50.0 
39 24.0 
40 55.0 
41 45.0 
42 41.0 
43 40.0 
44 120.0 
45 28.0 
46 78.0 
47 38.0 
48 40.0 
49 66.0 
