gen AVG
0 74.3 
1 72.3 
2 92.6 
3 93.4 
4 98.4 
5 101.3 
6 99.3 
7 89.3 
8 92.1 
9 92.6 
10 93.7 
11 83.3 
12 93.8 
13 94.6 
14 83.3 
15 94.6 
16 82.0 
17 101.6 
18 101.6 
19 100.3 
20 88.2 
21 80.8 
22 104.9 
23 108.1 
24 96.9 
25 91.1 
26 100.1 
27 107.6 
28 104.8 
29 109.0 
30 108.4 
31 93.1 
32 103.8 
33 104.4 
34 99.0 
35 85.5 
36 105.6 
37 108.2 
38 91.5 
39 102.8 
40 107.4 
41 92.5 
42 92.2 
43 111.0 
44 100.9 
45 102.9 
46 93.9 
47 99.6 
48 102.0 
49 87.1 
