gen WORST
0 37.0 
1 37.0 
2 43.0 
3 12.0 
4 36.0 
5 43.0 
6 16.0 
7 16.0 
8 40.0 
9 19.0 
10 40.0 
11 32.0 
12 37.0 
13 17.0 
14 17.0 
15 36.0 
16 32.0 
17 23.0 
18 30.0 
19 30.0 
20 14.0 
21 14.0 
22 57.0 
23 16.0 
24 37.0 
25 14.0 
26 89.0 
27 33.0 
28 89.0 
29 12.0 
30 13.0 
31 56.0 
32 48.0 
33 48.0 
34 17.0 
35 48.0 
36 48.0 
37 45.0 
38 51.0 
39 24.0 
40 48.0 
41 12.0 
42 13.0 
43 13.0 
44 30.0 
45 54.0 
46 25.0 
47 39.0 
48 43.0 
49 58.0 
