gen AVG
0 60.0 
1 75.5 
2 81.3 
3 79.6 
4 77.9 
5 76.2 
6 82.5 
7 79.6 
8 91.0 
9 82.7 
10 82.3 
11 92.1 
12 93.3 
13 95.8 
14 88.7 
15 82.9 
16 87.4 
17 84.0 
18 80.4 
19 94.9 
20 94.7 
21 101.6 
22 87.0 
23 80.6 
24 98.1 
25 100.9 
26 98.4 
27 93.6 
28 97.9 
29 84.9 
30 98.6 
31 82.8 
32 85.2 
33 89.4 
34 87.8 
35 88.0 
36 89.0 
37 95.4 
38 91.3 
39 96.6 
40 94.1 
41 91.9 
42 80.0 
43 93.8 
44 96.1 
45 79.8 
46 84.6 
47 93.4 
48 89.4 
49 94.9 
