gen AVG
0 69.55 
1 65.85 
2 78.7 
3 88.15 
4 96.4 
5 105.65 
6 103.4 
7 115.55 
8 106.3 
9 112.85 
10 108.75 
11 90.35 
12 115.5 
13 105.9 
14 110.65 
15 112.3 
16 102.4 
17 115.75 
18 105.9 
19 113.85 
20 118.3 
21 101.9 
22 111.55 
23 99.7 
24 94.1 
25 111.2 
26 110.15 
27 111.25 
28 101.7 
29 94.05 
30 107.55 
31 94.2 
32 107.15 
33 100.7 
34 101.2 
35 99.75 
36 117.85 
37 105.35 
38 111.25 
39 113.35 
40 109.45 
41 84.15 
42 104.1 
43 107.35 
44 110.9 
45 113.6 
46 118.2 
47 96.15 
48 101.55 
49 115.6 
