gen AVG
0 52.05 
1 75.55 
2 72.55 
3 81.3 
4 73.5 
5 86.2 
6 100.7 
7 91.3 
8 92.6 
9 84.8 
10 84.9 
11 82.7 
12 70.45 
13 76.1 
14 80.6 
15 93.8 
16 88.35 
17 100.45 
18 85.9 
19 82.75 
20 103.45 
21 101.5 
22 85.1 
23 100.25 
24 100.75 
25 92.75 
26 84.25 
27 104.8 
28 92.15 
29 104.65 
30 89.25 
31 107.95 
32 71.85 
33 104.4 
34 98.85 
35 90.15 
36 109.25 
37 94.7 
38 87.9 
39 95.0 
40 106.9 
41 97.65 
42 108.85 
43 93.75 
44 105.6 
45 99.55 
46 98.75 
47 88.8 
48 67.4 
49 94.5 
