gen BEST
0 84.0 
1 93.0 
2 93.0 
3 93.0 
4 93.0 
5 93.0 
6 93.0 
7 93.0 
8 93.0 
9 93.0 
10 96.0 
11 96.0 
12 102.0 
13 102.0 
14 102.0 
15 102.0 
16 112.0 
17 112.0 
18 112.0 
19 112.0 
20 112.0 
21 112.0 
22 112.0 
23 112.0 
24 112.0 
25 112.0 
26 112.0 
27 112.0 
28 112.0 
29 112.0 
30 112.0 
31 112.0 
32 112.0 
33 112.0 
34 112.0 
35 112.0 
36 112.0 
37 112.0 
38 112.0 
39 112.0 
40 112.0 
41 112.0 
42 112.0 
43 112.0 
44 112.0 
45 112.0 
46 112.0 
47 112.0 
48 112.0 
49 113.0 
