gen WORST
0 18.0 
1 46.0 
2 46.0 
3 55.0 
4 22.0 
5 22.0 
6 35.0 
7 75.0 
8 59.0 
9 30.0 
10 89.0 
11 73.0 
12 52.0 
13 32.0 
14 53.0 
15 58.0 
16 53.0 
17 61.0 
18 61.0 
19 53.0 
20 49.0 
21 29.0 
22 70.0 
23 114.0 
24 51.0 
25 36.0 
26 50.0 
27 52.0 
28 87.0 
29 72.0 
30 20.0 
31 52.0 
32 44.0 
33 44.0 
34 41.0 
35 49.0 
36 123.0 
37 57.0 
38 43.0 
39 48.0 
40 41.0 
41 55.0 
42 123.0 
43 47.0 
44 42.0 
45 42.0 
46 54.0 
47 52.0 
48 44.0 
49 51.0 
