gen WORST
0 29.0 
1 64.0 
2 61.0 
3 63.0 
4 63.0 
5 63.0 
6 33.0 
7 57.0 
8 44.0 
9 44.0 
10 69.0 
11 38.0 
12 55.0 
13 63.0 
14 53.0 
15 43.0 
16 110.0 
17 70.0 
18 66.0 
19 23.0 
20 42.0 
21 64.0 
22 88.0 
23 88.0 
24 64.0 
25 61.0 
26 62.0 
27 8.0 
28 57.0 
29 42.0 
30 45.0 
31 71.0 
32 70.0 
33 82.0 
34 112.0 
35 36.0 
36 112.0 
37 112.0 
38 41.0 
39 41.0 
40 54.0 
41 53.0 
42 55.0 
43 40.0 
44 77.0 
45 44.0 
46 35.0 
47 35.0 
48 38.0 
49 38.0 
