gen AVG
0 68.9 
1 84.6 
2 67.5 
3 81.1 
4 63.9 
5 71.1 
6 89.4 
7 93.0 
8 94.7 
9 90.9 
10 105.0 
11 93.6 
12 91.0 
13 100.0 
14 94.0 
15 97.6 
16 82.3 
17 87.7 
18 93.2 
19 99.2 
20 79.0 
21 105.1 
22 88.3 
23 88.0 
24 90.8 
25 89.6 
26 99.1 
27 89.8 
28 92.1 
29 81.7 
30 83.3 
31 88.1 
32 105.1 
33 98.4 
34 88.7 
35 85.5 
36 92.5 
37 87.0 
38 102.2 
39 96.8 
40 98.3 
41 90.8 
42 88.4 
43 94.5 
44 77.8 
45 97.1 
46 92.5 
47 84.8 
48 88.6 
49 89.5 
